time,open,high,low,close,volume
2026-08-14T07:38:00+09:00,159.509,159.509,159.508,159.509,7
2026-08-14T07:39:00+09:00,159.506,159.506,159.496,159.496,30
2026-08-14T07:40:00+09:00,159.496,159.498,159.495,159.495,22
2026-08-14T07:41:00+09:00,159.496,159.497,159.495,159.496,19
2026-08-14T07:42:00+09:00,159.498,159.502,159.497,159.498,84
2026-08-14T07:43:00+09:00,159.498,159.498,159.497,159.498,8
2026-08-14T07:44:00+09:00,159.498,159.498,159.488,159.491,50
2026-08-14T07:45:00+09:00,159.492,159.494,159.487,159.488,18
2026-08-14T07:46:00+09:00,159.49,159.492,159.49,159.491,22
2026-08-14T07:47:00+09:00,159.49,159.494,159.488,159.488,16
2026-08-14T07:48:00+09:00,159.488,159.496,159.488,159.492,38
2026-08-14T07:49:00+09:00,159.492,159.498,159.491,159.493,38
2026-08-14T07:50:00+09:00,159.494,159.497,159.483,159.483,52
2026-08-14T07:51:00+09:00,159.484,159.488,159.483,159.483,21
2026-08-14T07:52:00+09:00,159.484,159.484,159.483,159.483,2
2026-08-14T07:54:00+09:00,159.48,159.48,159.472,159.474,24
2026-08-14T07:55:00+09:00,159.476,159.476,159.474,159.474,16
2026-08-14T07:56:00+09:00,159.475,159.476,159.474,159.475,24
2026-08-14T07:57:00+09:00,159.476,159.476,159.47,159.47,45
2026-08-14T07:58:00+09:00,159.472,159.474,159.462,159.468,62
2026-08-14T07:59:00+09:00,159.468,159.471,159.464,159.468,40
2026-08-14T08:00:00+09:00,159.467,159.47,159.462,159.462,23
2026-08-14T08:01:00+09:00,159.462,159.462,159.46,159.46,16
2026-08-14T08:03:00+09:00,159.456,159.456,159.441,159.446,36
2026-08-14T08:04:00+09:00,159.446,159.446,159.445,159.446,24
2026-08-14T08:05:00+09:00,159.446,159.448,159.446,159.447,31
2026-08-14T08:06:00+09:00,159.446,159.45,159.446,159.45,30
2026-08-14T08:07:00+09:00,159.45,159.45,159.448,159.448,21
2026-08-14T08:08:00+09:00,159.448,159.45,159.448,159.45,24
2026-08-14T08:09:00+09:00,159.449,159.45,159.448,159.448,20
2026-08-14T08:10:00+09:00,159.45,159.452,159.45,159.452,10
2026-08-14T08:11:00+09:00,159.454,159.46,159.454,159.458,18
2026-08-14T08:12:00+09:00,159.458,159.459,159.458,159.458,24
2026-08-14T08:13:00+09:00,159.457,159.458,159.457,159.458,3
