episode,offset_bd,date,close,recovery_pct,phase
E4,270,2025-07-29,148.472,-202.2,pre
E4,271,2025-07-30,149.526,-178.3,pre
E4,272,2025-07-31,150.766,-150.1,pre
E4,273,2025-08-01,147.420,-226.2,pre
E4,274,2025-08-04,147.092,-233.6,pre
E4,275,2025-08-05,147.556,-223.1,pre
E4,276,2025-08-06,147.357,-227.6,pre
E4,277,2025-08-07,147.152,-232.2,pre
E4,278,2025-08-08,147.752,-218.6,pre
E4,279,2025-08-11,148.146,-209.6,pre
E4,280,2025-08-12,147.856,-216.2,pre
E4,281,2025-08-13,147.382,-227.0,pre
E4,282,2025-08-14,147.752,-218.6,pre
E4,283,2025-08-15,147.154,-232.2,pre
E4,284,2025-08-18,147.855,-216.3,pre
E4,285,2025-08-19,147.670,-220.5,pre
E4,286,2025-08-20,147.312,-228.6,pre
E4,287,2025-08-21,148.389,-204.1,pre
E4,288,2025-08-22,146.926,-237.4,pre
E4,289,2025-08-25,147.753,-218.6,pre
E4,290,2025-08-26,147.430,-225.9,pre
E4,291,2025-08-27,147.416,-226.2,pre
E4,292,2025-08-28,146.944,-237.0,pre
E4,293,2025-08-29,147.066,-234.2,pre
E4,294,2025-09-01,147.180,-231.6,pre
E4,295,2025-09-02,148.338,-205.3,pre
E4,296,2025-09-03,148.109,-210.5,pre
E4,297,2025-09-04,148.464,-202.4,pre
E4,298,2025-09-05,147.418,-226.2,pre
E4,299,2025-09-08,147.530,-223.7,pre
E4,300,2025-09-09,147.403,-226.5,pre
E4,301,2025-09-10,147.465,-225.1,pre
E4,302,2025-09-11,147.226,-230.6,pre
E4,303,2025-09-12,147.672,-220.4,pre
E4,304,2025-09-15,147.418,-226.2,pre
E4,305,2025-09-16,146.456,-248.1,pre
E4,306,2025-09-17,146.999,-235.7,pre
E4,307,2025-09-18,147.996,-213.1,pre
E4,308,2025-09-19,147.956,-214.0,pre
E4,309,2025-09-22,147.736,-219.0,pre
E4,310,2025-09-23,147.658,-220.7,pre
E4,311,2025-09-24,148.909,-192.3,pre
E4,312,2025-09-25,149.799,-172.0,pre
E4,313,2025-09-26,149.519,-178.4,pre
E4,314,2025-09-29,148.598,-199.4,pre
E4,315,2025-09-30,147.940,-214.3,pre
E4,316,2025-10-01,147.071,-234.1,pre
E4,317,2025-10-02,147.264,-229.7,pre
E4,318,2025-10-03,147.490,-224.6,pre
E4,319,2025-10-06,150.350,-159.5,pre
E4,320,2025-10-07,151.900,-124.3,pre
E4,321,2025-10-08,152.697,-106.1,pre
E4,322,2025-10-09,153.084,-97.3,pre
E4,323,2025-10-10,151.174,-140.8,pre
E4,324,2025-10-13,152.300,-115.2,pre
E4,325,2025-10-14,151.810,-126.3,pre
E4,326,2025-10-15,151.072,-143.1,pre
E4,327,2025-10-16,150.436,-157.6,pre
E4,328,2025-10-17,150.650,-152.7,pre
E4,329,2025-10-20,150.766,-150.1,pre
E4,330,2025-10-21,151.926,-123.7,pre
E4,331,2025-10-22,151.964,-122.8,pre
E4,332,2025-10-23,152.596,-108.4,pre
E4,333,2025-10-24,152.882,-101.9,pre
E4,334,2025-10-27,152.880,-102.0,pre
E4,335,2025-10-28,152.115,-119.4,pre
E4,336,2025-10-29,152.740,-105.2,pre
E4,337,2025-10-30,154.149,-73.1,pre
E4,338,2025-10-31,154.017,-76.1,pre
E4,339,2025-11-03,154.212,-71.7,pre
E4,340,2025-11-04,153.665,-84.1,pre
E4,341,2025-11-05,154.114,-73.9,pre
E4,342,2025-11-06,153.072,-97.6,pre
E4,343,2025-11-07,153.419,-89.7,pre
E4,344,2025-11-10,154.132,-73.5,pre
E4,345,2025-11-11,154.156,-73.0,pre
E4,346,2025-11-12,154.815,-58.0,pre
E4,347,2025-11-13,154.536,-64.3,pre
E4,348,2025-11-14,154.524,-64.6,pre
E4,349,2025-11-17,155.264,-47.8,pre
E4,350,2025-11-18,155.522,-41.9,pre
E4,351,2025-11-19,157.169,-4.4,pre
E4,352,2025-11-20,157.466,2.3,pre
E4,353,2025-11-21,156.409,-21.7,pre
E4,354,2025-11-24,156.922,-10.1,pre
E4,355,2025-11-25,156.073,-29.4,pre
E4,356,2025-11-26,156.470,-20.3,pre
E4,357,2025-11-27,156.303,-24.1,pre
E4,358,2025-11-28,156.191,-26.7,pre
E4,359,2025-12-01,155.484,-42.8,pre
E4,360,2025-12-02,155.884,-33.7,pre
E4,361,2025-12-03,155.229,-48.6,pre
E4,362,2025-12-04,155.120,-51.0,pre
E4,363,2025-12-05,155.340,-46.0,pre
E4,364,2025-12-08,155.928,-32.7,pre
E4,365,2025-12-09,156.894,-10.7,pre
E4,366,2025-12-10,156.023,-30.5,pre
E4,367,2025-12-11,155.572,-40.8,pre
E4,368,2025-12-12,155.838,-34.7,pre
E4,369,2025-12-15,155.206,-49.1,pre
E4,370,2025-12-16,154.721,-60.1,pre
E4,371,2025-12-17,155.693,-38.0,pre
E4,372,2025-12-18,155.562,-41.0,pre
E4,373,2025-12-19,157.723,8.2,pre
E4,374,2025-12-22,157.036,-7.5,pre
E4,375,2025-12-23,156.235,-25.7,pre
E4,376,2025-12-24,155.952,-32.1,pre
E4,377,2025-12-26,156.569,-18.1,pre
E4,378,2025-12-29,156.042,-30.1,pre
E4,379,2025-12-30,156.421,-21.4,pre
E4,380,2025-12-31,156.684,-15.5,pre
E4,381,2026-01-02,156.837,-12.0,pre
E4,382,2026-01-05,156.404,-21.8,pre
E4,383,2026-01-06,156.663,-15.9,pre
E4,384,2026-01-07,156.757,-13.8,pre
E4,385,2026-01-08,156.882,-11.0,pre
E4,386,2026-01-09,157.933,12.9,pre
E4,387,2026-01-12,158.160,18.1,pre
E4,388,2026-01-13,159.172,41.1,pre
E4,389,2026-01-14,158.436,24.4,pre
E4,390,2026-01-15,158.622,28.6,pre
E4,391,2026-01-16,158.103,16.8,pre
E4,392,2026-01-19,158.127,17.4,pre
E4,393,2026-01-20,158.138,17.6,pre
E4,394,2026-01-21,158.294,21.2,pre
E4,395,2026-01-22,158.428,24.2,pre
E4,396,2026-01-23,155.736,-37.0,pre
E4,397,2026-01-26,154.221,-71.5,pre
E4,398,2026-01-27,152.204,-117.4,pre
E4,399,2026-01-28,153.404,-90.1,pre
E4,400,2026-01-29,153.114,-96.7,pre
E4,401,2026-01-30,154.782,-58.7,pre
E4,402,2026-02-02,155.606,-40.0,pre
E4,403,2026-02-03,155.795,-35.7,pre
E4,404,2026-02-04,156.870,-11.2,pre
E4,405,2026-02-05,157.044,-7.3,pre
